Name,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,PlayerId_y,MLBAMID_y,Years_Contributed
Christian Yelich,144.5,634.125,21.0,94.75,77.125,20.125,0.114612469625,0.21003230475,0.18602327400000002,0.35166343725,0.29365978225,0.37880199275,0.47968305625,0.3679395763584008,0.3791428571428571,132.86666009003724,4.699968424538383,30.20241995255871,-6.749144487082958,4.48495275246632,11477.0,592885.0,3.1736400425434113,-9.920920729637146,13.094560861587524,32.97228789329529,3.399098090827465,0.9887521117925644,1.8873500116169453,2.75,2.972474694252014,0.21125864666598299,11477.0,592885.0,8
Cody Bellinger,142.33333333333334,585.8333333333334,29.0,88.16666666666667,88.5,13.666666666666666,0.09833739983333334,0.209100104,0.23447849499999998,0.29583934566666664,0.26901398066666665,0.34138437983333336,0.5034924756666667,0.3526778557265741,0.33866666666666667,124.5195883453951,2.2564018274812647,21.490933688694852,-1.691291871170203,3.9098394603766136,15998.0,641355.0,2.1032455960909524,-9.474335034688314,11.577580769856771,25.89876635869344,2.6839934587478638,0.9773087104161579,1.4177639961242676,4.666666666666667,2.635315219561259,-0.5022978753470854,15998.0,641355.0,6
Colton Cowser,153.0,561.0,24.0,77.0,69.0,9.0,0.092691622,0.306595365,0.204408818,0.316993464,0.242484969,0.320855614,0.446893787,0.3314574734042923,0.331,119.56889962719454,1.118081457912922,13.679389740425648,6.368252754211426,4.00189551721443,29591.0,681297.0,-2.51381778717041,-10.732040405273438,8.218222618103027,-8.070699691772461,-0.8946080803871155,0.9310638904571532,1.4578499794006348,12.0,0.5087238550186157,-3.208665086695126,29591.0,681297.0,1
Corbin Carroll,156.5,664.5,23.5,118.5,75.0,44.5,0.0975486195,0.19192846400000002,0.2090914555,0.2900938595,0.257927791,0.341544125,0.4670192465,0.3475681166504264,0.3365,119.40305957386207,11.687075004214421,27.254329324227886,-3.180920958518982,4.698476826617539,25878.0,682998.0,4.211312294006348,-10.420440196990967,14.631752490997314,29.16384983062744,2.8705406785011296,1.0101091265678406,1.8618366122245789,5.5,2.293284237384796,1.8302646475288573,25878.0,682998.0,2
Corey Seager,138.16666666666666,595.5,27.166666666666668,86.5,81.5,2.3333333333333335,0.0912613705,0.18134843150000002,0.22308807016666668,0.3139162105,0.28737458466666665,0.35575234333333333,0.5104626548333333,0.3651501705154127,0.3781666666666667,133.83539039662801,-0.34533701623634755,23.485449026344284,4.872541646162669,4.845337807996942,13624.0,608369.0,2.525956024726232,-9.129252990086874,11.655209064483643,31.16093397140503,3.2151949206988015,0.9578743080298106,1.6157849431037903,4.0,2.581746836503347,0.08159961485817531,13624.0,608369.0,6
Daric Barton,159.0,686.0,10.0,79.0,57.0,7.0,0.160349854,0.148688046,0.131294964,0.316258351,0.273381294,0.393175074,0.404676258,0.3596650856059222,,126.48350528471654,2.3330175294540823,23.708468406959657,0.3981809616088867,4.977371015510183,5928.0,435558.0,1.2063980102539062,-10.258858680725098,11.465255737304688,13.425999641418455,1.4191901683807373,0.9740815162658693,2.618000030517578,3.0,1.974958062171936,-0.7364600616363959,5928.0,435558.0,1
David Wright,149.0,642.0,19.333333333333332,77.33333333333333,86.33333333333333,14.0,0.09851765,0.20009848333333333,0.17010693300000002,0.33537467633333334,0.286107025,0.3563360666666666,0.456213958,0.3500388833333103,,123.12270810364227,-2.2858754416617253,16.256515101670868,1.2750111023585002,3.896437389658171,3787.0,431151.0,2.2125613689422607,-10.681501706441244,12.894063313802084,23.795666535695393,2.573226491610209,1.0027457276980083,2.7461334069569907,1.0,2.3373474876085916,-0.13895395192829707,3787.0,431151.0,3
Derek Norris,147.0,557.0,14.0,65.0,62.0,4.0,0.062836624,0.235188509,0.153398059,0.309973045,0.250485436,0.305206463,0.403883495,0.308789110441002,0.27,98.08669349619105,-1.1273945309221745,-2.369174243263455,21.184457287192345,3.8233940070313066,6867.0,519083.0,0.4584597945213318,-9.459712028503418,9.918171882629396,6.768700122833252,0.8441272974014282,0.9842060208320618,1.5464714765548706,14.0,-0.0256088301539421,0.4914257270407782,6867.0,519083.0,1
Dustin Pedroia,149.8,677.0,13.4,90.2,73.4,15.2,0.0933317454,0.10878313020000001,0.1339593732,0.3194495238,0.2985823156,0.3636318444,0.43254168880000005,0.3483357656432112,0.331,115.97774761567089,0.010974520584568381,13.204513387450612,11.22783341407776,4.947955367910692,8370.0,456030.0,1.4425470352172851,-11.302212524414063,12.74475917816162,14.182179927825928,1.4396191596984864,1.0024120450019836,1.6662500351667404,1.0,1.284652328491211,0.24195821698828435,8370.0,456030.0,5
Elly De La Cruz,160.0,696.0,25.0,105.0,76.0,67.0,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.3486482402837345,0.331,117.85621503824532,7.479994058609009,22.341401171375864,16.737037181854248,6.429651537864672,26668.0,682829.0,-0.36894091963768,-12.831722259521484,12.462780952453612,16.56199836730957,1.7081853151321411,0.9701893925666808,1.8539999723434448,1.0,1.6736820936203003,-2.053959308012049,26668.0,682829.0,1
