Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"José Ramírez","CLE",0.82778000831604,-9.443325996398926,10.271105766296387,13.188000679016113,1.2321110963821411,0.9723004102706909,1.472000002861023,1,0.8754345178604126,-0.024072120424434962,"Jose Ramirez",13510,608070
"Avisaíl García","TBR",-0.06825212389230728,-9.808296203613281,9.740043640136719,-6.05340051651001,-0.4569953978061676,0.9824472069740295,1.9942666292190552,3,-0.016329262405633926,-0.05314228111121938,"Avisail Garcia",5760,541645
"Kole Calhoun","LAA",0.48552361130714417,-10.714012145996094,11.199536323547363,2.0857996940612793,0.17606613039970398,0.9542443752288818,2.808150053024292,4,0.5669935941696167,-0.05818932567111168,"Kole Calhoun",11200,594777
"Francisco Lindor","CLE",0.7199276685714722,-10.729435920715332,11.449363708496094,4.977700233459473,0.3915199935436249,0.9187321066856384,2.7300000190734863,1,0.8628410696983337,-0.07923106702993998,"Francisco Lindor",12916,596019
"Kevin Pillar","- - -",-1.1611579656600952,-12.510923564434052,11.34976576641202,-3.874000396579504,-0.4304491877555847,1.0206895060892458,0.886250015348196,4,-1.0340691208839417,-0.1035520251480695,"Kevin Pillar",12434,607680
"Josh Bell","PIT",3.0392675399780273,-9.915517807006836,12.95478630065918,38.40299987792969,3.828580856323242,1.0055577754974365,2.4919333457946777,3,3.1456239223480225,-0.1231545883760976,"Josh Bell",13145,605137
"Yuli Gurriel","HOU",2.0927677154541016,-10.36767578125,12.460444450378418,22.667999267578125,2.2224888801574707,0.9821189641952515,1.371999979019165,1,2.2596211433410645,-0.12875126733890818,"Yuli Gurriel",19198,493329
"Asdrúbal Cabrera","- - -",0.30331575870513916,-8.702818393707275,9.006134033203125,19.136000633239746,1.9054831713438034,0.9775780744723878,0.6467199921607971,5,0.4452686607837677,-0.13499599139227914,"Asdrubal Cabrera",4962,452678
"Nick Castellanos","- - -",2.0232423543930054,-11.088192224502563,13.111433506011963,20.274999618530273,2.0198174118995667,0.9271683678074666,,0,2.33792906999588,-0.15575544906283012,"Nick Castellanos",11737,592206
"Yasmani Grandal","MIL",1.693634033203125,-11.228092193603516,12.92172622680664,19.134199142456055,1.987281322479248,1.0253667831420898,1.1915777921676636,9,1.8492417335510254,-0.19750689968677082,"Yasmani Grandal",11368,518735
"Eloy Jiménez","CHW",-0.03380616009235382,-9.116321563720703,9.08251667022705,4.938000202178955,0.490420937538147,0.9510987401008606,,0,0.16438235342502594,-0.1999266756567732,"Eloy Jimenez",17484,650391
"Jason Kipnis","CLE",-0.9719166159629822,-8.821392059326172,7.849475860595703,-9.581999778747559,-0.97993004322052,0.9369732141494751,,0,-0.8245236873626709,-0.21277023020702868,"Jason Kipnis",9776,543401
"Miguel Cabrera","DET",-0.8072102069854736,-10.32863998413086,9.521430015563965,1.8060004711151123,0.19172021746635437,1.0218408107757568,2.3050665855407715,3,-0.568553626537323,-0.2214032811072828,"Miguel Cabrera",1744,408234
"Eric Hosmer","SDP",-0.08801226317882538,-12.038010597229004,11.949997901916504,15.27400016784668,1.5331215858459473,1.0139449834823608,3.490133285522461,3,0.14198185503482819,-0.2287836683605869,"Eric Hosmer",3516,543333
"Colin Moran","PIT",-0.8347136378288269,-9.255698204040527,8.420984268188477,-3.699000120162964,-0.36075517535209656,1.0128933191299438,1.3354870080947876,23,-0.5867398977279663,-0.2373485053289618,"Colin Moran",16909,592567
"Leury García","CHW",-1.5712803602218628,-10.90369987487793,9.332420349121094,-17.35770034790039,-1.6712557077407837,0.9560340046882629,4.388500213623047,2,-1.3342992067337036,-0.30924103609920195,"Leury Garcia",5913,544725
"Christian Vázquez","BOS",-0.4374551475048065,-10.242785453796387,9.805330276489258,-3.0799999237060547,-0.28779470920562744,0.9932202696800232,1.4240666627883911,12,-0.11206082999706268,-0.3283803902024984,"Christian Vazquez",9774,543877
"César Hernández","PHI",-0.40021002292633057,-11.491541862487793,11.09133243560791,-3.7937002182006836,-0.2565768361091614,0.9849885702133179,1.0737000703811646,4,-0.04759945347905159,-0.3587098530742798,"Cesar Hernandez",10556,514917
